"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT2G42530",1.56840411842811,7.53275247479069,10.9551042014062,0.000935808373137083,0.198072798007704,"Not Significant"
"AT1G04220",2.2347620986447,5.64563347809832,10.9501409146767,0.000936156404137194,0.198072798007704,"Not Significant"
"AT2G47270",-2.65073868074019,4.51074394364518,10.888692040927,0.000967727115820709,0.202187296048562,"Not Significant"
"AT1G65481",3.09014559999497,4.85587342152951,10.8850039610462,0.00096965584204002,0.202187296048562,"Not Significant"
"AT3G21750",2.44206119077119,5.38316210161067,10.8682666070686,0.000978901826206706,0.202646762943151,"Not Significant"
"AT5G50450",-2.27969536271294,5.17317593945364,10.8434960238157,0.00099163286124598,0.203336577326913,"Not Significant"
"AT4G00040",8.13774885416538,3.77949279118591,10.8274192624466,0.00100027967806752,0.203336577326913,"Not Significant"
"AT1G61255",3.45142468444277,4.63647816431968,10.8215907322102,0.00100343332686088,0.203336577326913,"Not Significant"
"AT3G14390",1.87873437543316,6.27962608716175,10.7898916567129,0.00102076167658702,0.205401519187354,"Not Significant"
"AT2G30020",8.02481505957249,3.88021488302561,10.7513353463986,0.00104224706592944,0.208268467514719,"Not Significant"
"AT1G29320",8.07390745099602,3.81811862558915,10.7283348266948,0.00105528127397845,0.209418749370551,"Not Significant"
"AT5G24165",-1.40769139813451,8.67145052395724,10.7008127652496,0.00107109468943504,0.211101025263652,"Not Significant"
"AT3G43430",-2.66595656418047,4.28503126225464,10.6806709257922,0.00108281934794849,0.211960045831414,"Not Significant"
"AT3G51540",-3.84703368702272,1.65552852523133,10.5977495196367,0.00113247192881969,0.220181619944503,"Not Significant"
"AT1G29740",-3.78128076910766,1.64219650780194,10.415012105733,0.00125018341302684,0.241436427582868,"Not Significant"
"AT3G18830",1.66911276671848,6.76721831939407,10.3739318378939,0.00128022104078,0.245187424833667,"Not Significant"
"AT5G52310",2.32474900768263,9.79238033555639,13.0374608457099,0.00128717258064353,0.245187424833667,"Not Significant"
"AT2G35060",2.78244984643154,4.99731996833576,10.3418327357165,0.00130072756159456,0.245187424833667,"Not Significant"
"AT1G30460",8.00661355151316,3.76819609448473,10.3376335445079,0.00130368986966294,0.245187424833667,"Not Significant"
"AT4G39260",1.28486508675168,10.6271028135485,10.2571385280353,0.00136197869282881,0.252501121435562,"Not Significant"
"AT3G12890",-4.02879959359401,1.3590773020888,16.8082042485045,0.00137537041600415,0.252501121435562,"Not Significant"
"AT4G28340",-4.02879959359401,1.3590773020888,16.8082042485045,0.00137537041600415,0.252501121435562,"Not Significant"
"AT5G52040",2.0421102436525,5.82712519032922,10.235772712581,0.00137767770861453,0.252501121435562,"Not Significant"
"AT5G20630",-1.33751219615049,9.22853476511374,10.1825315584206,0.00141802749569772,0.258251526510771,"Not Significant"
"AT2G09990",1.78221812550625,6.36032818967089,10.0489667889175,0.00152460019028052,0.275914279719005,"Not Significant"
"AT2G37220",-1.27986459126382,10.2996279395038,10.027204032257,0.00154271812625326,0.27744821301836,"Not Significant"
"AT2G44820",4.0238205063855,4.28192396439832,9.94338309646443,0.00161456234392299,0.28856541271046,"Not Significant"
"AT3G02190",1.37274528730952,8.5132824180535,9.88542588824228,0.00166654932634311,0.295313167035398,"Not Significant"
"AT3G22120",-1.26868835754141,10.3284695955104,9.8781174833632,0.00167284261430998,0.295313167035398,"Not Significant"
"AT2G15960",-1.34537131728014,8.63547255079317,9.76574198967047,0.00177847120083755,0.312045785390856,"Not Significant"
"AT5G55920",2.23620392887152,5.41231899272693,9.68194382054623,0.00186117991042726,0.322874903052186,"Not Significant"
"AT5G28540",1.41298182148895,7.91689613136505,9.68051085901665,0.00186263193420201,0.322874903052186,"Not Significant"
"AT5G56940",2.32158852767776,5.35007941283731,9.66857475625568,0.00187477152285178,0.323033236946467,"Not Significant"
"AT5G60030",2.52992321620015,5.08072795712082,9.63746660774095,0.00190678825886846,0.324822429934731,"Not Significant"
"AT4G37410",1.5039966192246,7.25002577267363,9.62284923897659,0.00192202342233314,0.324822429934731,"Not Significant"
"AT3G63060",3.96851504624727,4.27560009245731,9.61959109775488,0.00192543605088841,0.324822429934731,"Not Significant"
"AT5G22920",-1.75620664526501,5.95261673677579,9.60616720816189,0.00193972729188069,0.324822429934731,"Not Significant"
"AT1G03600",-1.34478910420719,8.45341083911825,9.60424068412239,0.00194159714852385,0.324822429934731,"Not Significant"
"AT5G16190",7.73024069401311,3.79585247515381,9.54425559048828,0.00200619276465041,0.333688998860205,"Not Significant"
"AT5G48180",1.31740916000015,8.90645948669578,9.52423126208281,0.00203328078922333,0.336250889137363,"Not Significant"
"AT1G03790",7.79736376092374,3.71094820707375,9.48330831052191,0.00207411984184727,0.341044562566602,"Not Significant"
"AT5G59320",1.24899721583708,10.4361605008153,9.48661567770558,0.00210571408149896,0.344272288040525,"Not Significant"
"AT2G10940",-1.30579929122893,8.89736118524142,9.44000109264989,0.00212336408546547,0.345196618978921,"Not Significant"
"AT1G64110",2.72506306827745,4.87656781654136,9.42218746183878,0.00214805139077617,0.347051934529074,"Not Significant"
"AT4G30470",2.6250907127572,4.95517421321082,9.39262365661341,0.00217893798589533,0.347051934529074,"Not Significant"
"AT3G05935",-3.81673891255577,1.93232774391326,9.38613253950888,0.00218666615802722,0.347051934529074,"Not Significant"
"AT1G77120",2.15931508690142,5.63865653372926,9.50432327314229,0.00219229983744872,0.347051934529074,"Not Significant"
"AT3G55500",3.21915139988775,4.55699546866314,9.37217744338333,0.00220337504053471,0.347051934529074,"Not Significant"
"AT3G05060",1.82905229612902,6.07025582963504,9.36904634766082,0.00220714175564972,0.347051934529074,"Not Significant"
"AT3G50970",1.43037008447365,7.57047039633955,9.35525025677796,0.00222480649148345,0.34792829778498,"Not Significant"
"AT4G14890",1.73500735789004,6.31888519516658,9.34086367492031,0.0022413409475984,0.348619382525102,"Not Significant"
"AT1G18460",-1.57336449732874,6.50133266737001,9.3264394202737,0.00227098433215195,0.349222524285229,"Not Significant"
"AT2G42610",-2.49969755779618,4.3014553230414,9.30421058255451,0.00228662448023984,0.349222524285229,"Not Significant"
"AT2G27550",2.38636165428488,5.18574438685282,9.29223553456814,0.00230161948888326,0.349222524285229,"Not Significant"
"AT3G23920",1.32820389598039,8.49813955357042,9.29316113612147,0.00230578902831032,0.349222524285229,"Not Significant"
"AT5G54165",3.92759678118779,4.22009731368612,9.28883143185122,0.00230590024723522,0.349222524285229,"Not Significant"
"AT3G09890",3.95384188173122,4.20063483156503,9.26985367186548,0.00232991381359777,0.350218489238797,"Not Significant"
"AT4G17520",1.44378601354156,7.4042683153478,9.26443373301427,0.00233681841646739,0.350218489238797,"Not Significant"
"AT3G62950",-3.78290423444387,2.39864226807023,9.22627216529259,0.00238602479235676,0.352092658028958,"Not Significant"
"AT3G19450",1.63563966508997,6.47333378475641,9.22152542164788,0.00239263975544039,0.352092658028958,"Not Significant"
"AT1G56150",7.79417616112095,3.61321702724976,9.21687424330487,0.00239830319758477,0.352092658028958,"Not Significant"
"AT1G10850",7.82621679255125,3.5721469011012,9.21132101422495,0.0024055886196732,0.352092658028958,"Not Significant"
"AT1G65845",1.4208492150477,7.52631128522862,9.20758392792622,0.0024105040358542,0.352092658028958,"Not Significant"
"AT3G19130",2.48890030265238,5.07141394263432,9.18964353904921,0.00243424344851509,0.353764420358695,"Not Significant"
"AT2G43570",1.68607466645101,6.30612196299862,9.1244305291065,0.0025227990148099,0.361782471127138,"Not Significant"
"AT1G67360",2.22332999654485,5.34218623059625,9.11039282707917,0.00254198350701701,0.361782471127138,"Not Significant"
"AT3G22660",2.27127522928716,5.27634453722183,9.09860315449882,0.00255841995709087,0.361782471127138,"Not Significant"
"AT1G15240",7.74696237209193,3.62495378264484,9.09756618128285,0.00255987079408706,0.361782471127138,"Not Significant"
"AT5G06800",-3.64278178289422,1.38605618072627,13.5778052666772,0.00256557710626194,0.361782471127138,"Not Significant"
